YEAR,OP_FP,BAND_NUMBER,LOWER_BOUNDARY
2005,FPC,10,97.1037
2005,FPD,1,231.0351
2005,FPD,2,221.0369
2005,FPD,3,211.4793
2005,FPD,4,201.6985
2005,FPD,5,193.0405
2005,FPD,6,184.875
2005,FPD,7,176.5935
2005,FPD,8,167.5918
2005,FPD,9,156.4687
2005,FPD,10,123.339
2005,FPE,1,215.619
2005,FPE,2,206.0691
2005,FPE,3,197.4777
2005,FPE,4,188.7402
2005,FPE,5,180.8298
2005,FPE,6,173.1303
2005,FPE,7,165.3568
2005,FPE,8,156.7462
2005,FPE,9,146.5363
2005,FPE,10,95.7325
2005,OP,1,224.5041
2005,OP,2,216.4916
2005,OP,3,210.3617
2005,OP,4,204.9752
2005,OP,5,200.2058
2005,OP,6,196.0407
2005,OP,7,191.7905
2005,OP,8,187.909
2005,OP,9,184.0508
2005,OP,10,180.718
2005,OP,11,177.2809
2005,OP,12,173.9498
2005,OP,13,170.5194
2005,OP,14,167.1202
2005,OP,15,163.7924
2005,OP,16,160.389
2005,OP,17,156.9847
2005,OP,18,153.5156
2005,OP,19,149.9628
2005,OP,20,146.1687
2005,OP,21,142.0367
2005,OP,22,137.6932
2005,OP,23,132.3664
2005,OP,24,125.2029
2005,OP,25,0
2004,FPA,1,215.9065
2004,FPA,2,206.8043
2004,FPA,3,198.2084
2004,FPA,4,189.236
2004,FPA,5,180.9841
2004,FPA,6,172.9336
2004,FPA,7,164.8356
2004,FPA,8,156.0016
2004,FPA,9,145.1408
2004,FPA,10,90.183
2004,FPB,1,216.5483
2004,FPB,2,207.2634
2004,FPB,3,198.3931
2004,FPB,4,189.5817
2004,FPB,5,181.2766
2004,FPB,6,173.3772
2004,FPB,7,165.3237
2004,FPB,8,156.5559
2004,FPB,9,146.0088
2004,FPB,10,105.682
2004,FPC,1,221.5496
2004,FPC,2,210.0257
2004,FPC,3,200.351
2004,FPC,4,191.0632
2004,FPC,5,182.8627
2004,FPC,6,174.8146
2004,FPC,7,166.7312
2004,FPC,8,157.79
2004,FPC,9,147.3154
2004,FPC,10,104.756
2004,FPD,1,230.8152
2004,FPD,2,220.5683
2004,FPD,3,211.569
2004,FPD,4,201.7789
2004,FPD,5,193.1896
2004,FPD,6,185.0188
2004,FPD,7,176.7583
2004,FPD,8,167.5414
2004,FPD,9,156.0954
2004,FPD,10,116.313
2004,FPE,1,216.0296
2004,FPE,2,206.1261
2004,FPE,3,197.5466
2004,FPE,4,188.7358
2004,FPE,5,180.5974
2004,FPE,6,172.6581
2004,FPE,7,164.5231
2004,FPE,8,155.7778
2004,FPE,9,145.0998
2004,FPE,10,99.0093
2004,OP,1,224.5211
2004,OP,2,216.7993
2004,OP,3,210.8789
2004,OP,4,205.6666
2004,OP,5,201.0436
2004,OP,6,197.0001
2004,OP,7,192.8677
